title,description
Khazanah Islam Indonesia,Khazanah Islam Indonesia
Perkembangan hukum kontrak innominaat di Indonesia,Perkembangan hukum kontrak innominaat di Indonesia
Masa lampau bahasa Indonesia,Masa lampau bahasa Indonesia
Genealogi Islam radikal di Indonesia,Genealogi Islam radikal di Indonesia
Undang-Undang Tentang Penanggulangan Bencana,Undang-Undang Tentang Penanggulangan Bencana
Hubungan keuangan antara pemerintah pusat dan daerah di Indonesia,Hubungan keuangan antara pemerintah pusat dan daerah di Indonesia
Konsep diri dan efektifitas komunikasi antarpribadi,Konsep diri dan efektifitas komunikasi antarpribadi
Membina nilai² moral di Indonesia,Membina nilai² moral di Indonesia
Hukum warisan di Indonesia,Hukum warisan di Indonesia
Aspek hukum reksa dana syariah di Indonesia,Aspek hukum reksa dana syariah di Indonesia
Pedoman umum ejaan bahasa Indonesia yang disempurnakan,Pedoman umum ejaan bahasa Indonesia yang disempurnakan
Prospek otonomi daerah di Negara Republik Indonesia,Prospek otonomi daerah di Negara Republik Indonesia
Historical dictionary of Indonesia,Historical dictionary of Indonesia
Kamus lengkap peribahasa Jawa-Indonesia,Kamus lengkap peribahasa Jawa-Indonesia
35 tahun pengelolaan hutan Indonesia,35 tahun pengelolaan hutan Indonesia
Realisme-sosialis dan sastra Indonesia,Realisme-sosialis dan sastra Indonesia
"Kebijakan ""media baru"" di Indonesia","Kebijakan ""media baru"" di Indonesia"
100 tahun sejarah bioskop di Indonesia,100 tahun sejarah bioskop di Indonesia
Sistim perbankan Indonesia,Sistim perbankan Indonesia
Pendapatan nasional Indonesia =,Pendapatan nasional Indonesia =
Daftar pustaka bahasa dan kesusastraan Indonesia,Daftar pustaka bahasa dan kesusastraan Indonesia
Pokok-pokok hukum penitensier di Indonesia,Pokok-pokok hukum penitensier di Indonesia
"Ensiklopedia ekonomi, keuangan dan perdagangan","Ensiklopedia ekonomi, keuangan dan perdagangan"
Kunci sukses usahawan,Kunci sukses usahawan
Kabinet-kabinet Republik Indonesia,Kabinet-kabinet Republik Indonesia
Pembangunan administrasi di Indonesia,Pembangunan administrasi di Indonesia
Usaha penanaman modal di Indonesia,Usaha penanaman modal di Indonesia
Kamus nama-nama Sanskṛta-Indonesia,Kamus nama-nama Sanskṛta-Indonesia
Kamus sinonim bahasa Indonesia,Kamus sinonim bahasa Indonesia
Pemilu dan partai politik di Indonesia,Pemilu dan partai politik di Indonesia
Etika kedokteran Indonesia,Etika kedokteran Indonesia
Melestarikan alam Indonesia,Melestarikan alam Indonesia
Master bahasa Indonesia,Master bahasa Indonesia
Sistem penyiaran Indonesia,Sistem penyiaran Indonesia
Sejarah gereja Indonesia,Sejarah gereja Indonesia
Landscape kebanksentralan Indonesia,Landscape kebanksentralan Indonesia
Hukum penetensier Indonesia,Hukum penetensier Indonesia
Sistem peradilan Indonesia,Sistem peradilan Indonesia
Menguak pasar tradisional Indonesia,Menguak pasar tradisional Indonesia
Filosofi pendidikan Indonesia,Filosofi pendidikan Indonesia
"Prof. Dr. Joke Wattimena, Srikandi Farmakologi Indonesia","Prof. Dr. Joke Wattimena, Srikandi Farmakologi Indonesia"
Sejarah gereja di Indonesia,Sejarah gereja di Indonesia
Manajemen pembangunan Indonesia,Manajemen pembangunan Indonesia
Perempuan di kamar sebelah,Perempuan di kamar sebelah
Kelapa sawit (Elaeis guineensis Jacq.) di Indonesia,Kelapa sawit (Elaeis guineensis Jacq.) di Indonesia
Pedoman keselamatan dan kesehatan kerja bidang konstruksi,Pedoman keselamatan dan kesehatan kerja bidang konstruksi
Minangkabau and Negri Sembilan,Minangkabau and Negri Sembilan
Tari-tarian Indonesia,Tari-tarian Indonesia
"Novel-novel Indonesia tradisi Balai Pustaka, 1920-1942","Novel-novel Indonesia tradisi Balai Pustaka, 1920-1942"
Novel Indonesia mutakhir,Novel Indonesia mutakhir
Segi sosiologis novel Indonesia,Segi sosiologis novel Indonesia
Menjadi perempuan terdidik,Menjadi perempuan terdidik
"Konteks sosial novel Indonesia, 1920-1977","Konteks sosial novel Indonesia, 1920-1977"
Peradaban komunikasi politik,Peradaban komunikasi politik
Citra wanita pekerja dalam novel-novel Indonesia,Citra wanita pekerja dalam novel-novel Indonesia
Perkembangan novel-novel Indonesia,Perkembangan novel-novel Indonesia
"Novel Indonesia, kolonialisme, dan ideologi emansipatoris","Novel Indonesia, kolonialisme, dan ideologi emansipatoris"
Kalimantan Timur dalam fragmen novel Indonesia,Kalimantan Timur dalam fragmen novel Indonesia
Citra wanita dalam novel Indonesia sebelum perang,Citra wanita dalam novel Indonesia sebelum perang
"Analisis struktur novel Indonesia modern, 1930-1939","Analisis struktur novel Indonesia modern, 1930-1939"
"Analisis struktur novel Indonesia modern, 1980-1990","Analisis struktur novel Indonesia modern, 1980-1990"
Ekologi pariwisata dalam novel Indonesia di Bali,Ekologi pariwisata dalam novel Indonesia di Bali
Gagap budaya dalam tokoh-tokoh utama novel Indonesia,Gagap budaya dalam tokoh-tokoh utama novel Indonesia
Struktur estetik dan ekstraestetik novel Indonesia periode 2000,Struktur estetik dan ekstraestetik novel Indonesia periode 2000
"Novel Indonesia 15 tahun sesudah kemerdekaan, 1946-1960","Novel Indonesia 15 tahun sesudah kemerdekaan, 1946-1960"
"Unsur erotisme dalam novel Indonesia, 1960-1970-an","Unsur erotisme dalam novel Indonesia, 1960-1970-an"
"Citra manusia dalam novel Indonesia modern, 1920-1960","Citra manusia dalam novel Indonesia modern, 1920-1960"
Kedudukan perempuan dalam tiga novel Indonesia modern tahun 1970-an,Kedudukan perempuan dalam tiga novel Indonesia modern tahun 1970-an
Tokoh wanita dalam novel Indonesia tahun 1920-1980 an,Tokoh wanita dalam novel Indonesia tahun 1920-1980 an
Pahlawan dan pecundang,Pahlawan dan pecundang
Novel-novel Indonesia sebelum perang sebagai cermin konflik budaya barat-timur,Novel-novel Indonesia sebelum perang sebagai cermin konflik budaya barat-timur
Citra wanita Indonesia dalam sastra,Citra wanita Indonesia dalam sastra
Novel populer Indonesia,Novel populer Indonesia
The motion of puppets,The motion of puppets
Orientasi nilai budaya,Orientasi nilai budaya
Pola ketidakadilan gender terhadap tokoh wanita dalam novel Indonesia karya pengarang pria periode penulisan tahun 2000 hingga 2006,Pola ketidakadilan gender terhadap tokoh wanita dalam novel Indonesia karya pengarang pria periode penulisan tahun 2000 hingga 2006
Koleksi novel dan sastra Indonesia,Koleksi novel dan sastra Indonesia
Jalan Jalan - A Novel of Indonesia,Jalan Jalan - A Novel of Indonesia
Pikiran orang Indonesia,Pikiran orang Indonesia
Novel-novel dan cerpen-cerpan Indonesia tahun 70-an,Novel-novel dan cerpen-cerpan Indonesia tahun 70-an
Citra wanita dalam novel populer Indonesia mutakhir,Citra wanita dalam novel populer Indonesia mutakhir
Bibliografi sastra Indonesia,Bibliografi sastra Indonesia
Pesan di langit Indonesia,Pesan di langit Indonesia
Ikhtisar kesusastraan Indonesia,Ikhtisar kesusastraan Indonesia
Rona bahasa novel Islami Indonesia modern,Rona bahasa novel Islami Indonesia modern
Tionghoa dalam sastra Indonesia,Tionghoa dalam sastra Indonesia
Rekontruksi [i.e. rekonstruksi] dan reinterpretasi perkembagngan [i.e. perkembangan] pemikiran wanita,Rekontruksi [i.e. rekonstruksi] dan reinterpretasi perkembagngan [i.e. perkembangan] pemikiran wanita
Novel-novel dan cerpen-cerpen Indonesia tahun 70-an,Novel-novel dan cerpen-cerpen Indonesia tahun 70-an
Novel Berunsur Politik Kenegaraan Malaysia Dan Indonesia,Novel Berunsur Politik Kenegaraan Malaysia Dan Indonesia
"Novel perang dalam kesusasteraan Malaysia, Indonesia, dan Filipina","Novel perang dalam kesusasteraan Malaysia, Indonesia, dan Filipina"
Map of the Invisible World,Map of the Invisible World
Korrie Layun Rampan dalam novel dan cerpen Indonesia,Korrie Layun Rampan dalam novel dan cerpen Indonesia
Model penderitaan tokoh perempuan dalam novel-novel populer Indonesia,Model penderitaan tokoh perempuan dalam novel-novel populer Indonesia
Pengarang wanita dan nasib wanita dalam novel pop Indonesia,Pengarang wanita dan nasib wanita dalam novel pop Indonesia
Novel Jawa dudu kembang suarga,Novel Jawa dudu kembang suarga
Kaji banding unsur intrinsik dan unsur ekstrinsik novel,Kaji banding unsur intrinsik dan unsur ekstrinsik novel
Kajian bandingan novel sebelum merdeka,Kajian bandingan novel sebelum merdeka
Nasionalisme Indonesia pada novel Mencari sarang angin karya Suparto Brata,Nasionalisme Indonesia pada novel Mencari sarang angin karya Suparto Brata
The influence of adolescent novels on adolescents in England and Indonesia,The influence of adolescent novels on adolescents in England and Indonesia
Ironi perempuan di tengah isu sentimen gender,Ironi perempuan di tengah isu sentimen gender
Novel Bali pemenang sayembara,Novel Bali pemenang sayembara
"Sang pemula dan karya-karya non-fiksi (jurnalistik), fiksi (cerpen/novel) R.M. Tirto Adhi Soerjo","Sang pemula dan karya-karya non-fiksi (jurnalistik), fiksi (cerpen/novel) R.M. Tirto Adhi Soerjo"
Inventarisasi ciri-ciri intrinsik novel populer Indonesia yang terbit tahun 1970-1980,Inventarisasi ciri-ciri intrinsik novel populer Indonesia yang terbit tahun 1970-1980
Masalah wanita dalam novel-novel Nh Dini,Masalah wanita dalam novel-novel Nh Dini
Sang pemula disertai karya-karya non-fiksi (jurnalistik) dan fiksi (cerpen/novel) R.M. Tirto Adhi Soerjo,Sang pemula disertai karya-karya non-fiksi (jurnalistik) dan fiksi (cerpen/novel) R.M. Tirto Adhi Soerjo
Kaidah naratif novel Para priyayi dan Jalan menikung karya Umar Kayam sebagai acuan teoritis dalam kritik novel sastra Indonesia,Kaidah naratif novel Para priyayi dan Jalan menikung karya Umar Kayam sebagai acuan teoritis dalam kritik novel sastra Indonesia
Analisis kesepadanan makna dan gaya novel berbahasa Inggris The Highest tide ke dalam novel berbahasa Indonesia Pasang laut,Analisis kesepadanan makna dan gaya novel berbahasa Inggris The Highest tide ke dalam novel berbahasa Indonesia Pasang laut
Sekelumit tinjauan novel Jawa Modern sesudah perang,Sekelumit tinjauan novel Jawa Modern sesudah perang
"Citra Semar dalam peta sosial, politik, dan budaya Indonesia masa kini","Citra Semar dalam peta sosial, politik, dan budaya Indonesia masa kini"
Nilai pendidikan dan kesetaraan gender dalam novel,Nilai pendidikan dan kesetaraan gender dalam novel
Kingdom of selfish love,Kingdom of selfish love
Richard Daulay di mata para sahabat,Richard Daulay di mata para sahabat
Anak manusia korban politik,Anak manusia korban politik
Above the day below the night,Above the day below the night
De zwarte met het witte hart,De zwarte met het witte hart
"Create Your Space Panduan Self Publishing Indonesia Dan Internasional Suplemen Tambahan : Panduan Mudah Cara Menerbitkan Komik, CD Musik, DVD Movie, Dan MP3 Hanya Dalam Waktu 5 Menit Dengan Gratis Kontes Menulis Novel Berhadiah $50. 000","Create Your Space Panduan Self Publishing Indonesia Dan Internasional Suplemen Tambahan : Panduan Mudah Cara Menerbitkan Komik, CD Musik, DVD Movie, Dan MP3 Hanya Dalam Waktu 5 Menit Dengan Gratis Kontes Menulis Novel Berhadiah $50. 000"
The Paradise Guest House A Novel,The Paradise Guest House A Novel
Flight of the Hornbill,Flight of the Hornbill
Segi interkultural dalam novel Kalah dan menang,Segi interkultural dalam novel Kalah dan menang
Telaah stilistika novel berbahasa Jawa tahun 1989-an,Telaah stilistika novel berbahasa Jawa tahun 1989-an
Shadows over paradise,Shadows over paradise
Telaah stilistika novel berbahasa Jawa tahun 1980-an,Telaah stilistika novel berbahasa Jawa tahun 1980-an
Penokohan dalam novel Romo Rahadi karya Y.B. Mangunwijaya,Penokohan dalam novel Romo Rahadi karya Y.B. Mangunwijaya
Dunia kesastraan Nasjah Djamin dalam novel Malam Kuala Lumpur,Dunia kesastraan Nasjah Djamin dalam novel Malam Kuala Lumpur
Dinamika jender dalam konteks adat dan agama,Dinamika jender dalam konteks adat dan agama
Writing a New Society,Writing a New Society
"Unsur budaya Jawa dalam novel Genduk Duku, karya J.B. Mangunwijaya","Unsur budaya Jawa dalam novel Genduk Duku, karya J.B. Mangunwijaya"
Een maand in het boevenpak,Een maand in het boevenpak
Implementasi psikoanalisa Freud dan temanya dalam novel Pengakuan Pariyem karya Linus Suryadi Ag,Implementasi psikoanalisa Freud dan temanya dalam novel Pengakuan Pariyem karya Linus Suryadi Ag
Kekerasan terhadap perempuan dalam perspektif penulisan novel laki-laki angkatan 2000-an,Kekerasan terhadap perempuan dalam perspektif penulisan novel laki-laki angkatan 2000-an
Citra wanita dalam lima novel terbaik Sinclair Lewis dan gerakan wanita di Amerika,Citra wanita dalam lima novel terbaik Sinclair Lewis dan gerakan wanita di Amerika
Flight of the hornbill,Flight of the hornbill
Journey to the End of the Whale,Journey to the End of the Whale
Tanggapan pembaca terhadap novel berwarna lokal,Tanggapan pembaca terhadap novel berwarna lokal
Feminisme dalam karya sastra pada tiga novel N.H. Dini untuk meningkatkan studi emansipasi wanita,Feminisme dalam karya sastra pada tiga novel N.H. Dini untuk meningkatkan studi emansipasi wanita
Seporsi mie ayam sebelum mati,Seporsi mie ayam sebelum mati
"Pramoedya Ananta Toer, politik & sastra","Pramoedya Ananta Toer, politik & sastra"
Anak kolong di kaki Gunung Slamet,Anak kolong di kaki Gunung Slamet
"Maharaja Diraja Adityawarman, matahari di khatulistiwa","Maharaja Diraja Adityawarman, matahari di khatulistiwa"
Lord of the Golden Fan,Lord of the Golden Fan
Kisah Masjid Kobe Dari Jepang Yang Tetap Kokoh Walau Di Hantam Serangan Bom Perang Dunia Ke-2 & Gempa Bumi,Kisah Masjid Kobe Dari Jepang Yang Tetap Kokoh Walau Di Hantam Serangan Bom Perang Dunia Ke-2 & Gempa Bumi
Album cerita Indonesia,Album cerita Indonesia
Katalog film cerita Indonesia tahun 1988,Katalog film cerita Indonesia tahun 1988
Katalog film cerita Indonesia tahun 1990,Katalog film cerita Indonesia tahun 1990
Katalog film cerita Indonesia tahun 1989,Katalog film cerita Indonesia tahun 1989
Katalog film cerita Indonesia tahun 1987,Katalog film cerita Indonesia tahun 1987
Katalog video film cerita Indonesia koleksi Sinematek Indonesia,Katalog video film cerita Indonesia koleksi Sinematek Indonesia
"Jenis film cerita Indonesia, 1989-1990 [microform]","Jenis film cerita Indonesia, 1989-1990 [microform]"
Cerita hijab Indonesia,Cerita hijab Indonesia
Aspek genetik dan klasifikasi cerita detektif Indonesia,Aspek genetik dan klasifikasi cerita detektif Indonesia
Trend film Indonesia dekade 80,Trend film Indonesia dekade 80
Belajar bahasa Palu'e-bahasa Indonesia-bahasa Inggris,Belajar bahasa Palu'e-bahasa Indonesia-bahasa Inggris
Cerita boga Indonesia,Cerita boga Indonesia
Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 1,Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 1
Cerita rakyat daerah Lampung,Cerita rakyat daerah Lampung
Tokoh-tokoh cerita pendek Indonesia,Tokoh-tokoh cerita pendek Indonesia
Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 3,Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 3
Komik cerita rakyat Indonesia,Komik cerita rakyat Indonesia
"Cerita pendek Indonesia, 1940-1960","Cerita pendek Indonesia, 1940-1960"
Fenomena intrinsik cerita anak Indonesia kontemporer,Fenomena intrinsik cerita anak Indonesia kontemporer
Sastra Indonesia lama berisi sejarah,Sastra Indonesia lama berisi sejarah
Cerita Lapadoma (terjemahan Bugis-Indonesia),Cerita Lapadoma (terjemahan Bugis-Indonesia)
The true life of Habibie,The true life of Habibie
Antologi cerita rakyat Nusantara,Antologi cerita rakyat Nusantara
"Reproduksi, genetika, dan evolusi","Reproduksi, genetika, dan evolusi"
Cerita rakyat dan objek pariwisata di Indonesia,Cerita rakyat dan objek pariwisata di Indonesia
Legenda pohon beringin,Legenda pohon beringin
Seri cerita rakyat Indonesia,Seri cerita rakyat Indonesia
Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 2,Cerita Rakyat Daerah Kalimantan Tengah Dalam Bahasa Dayak Ngaju - Indonesia Jilid 2
Bercakap-cakap dibawah guguran daun-daun,Bercakap-cakap dibawah guguran daun-daun
Indonesia punya cerita,Indonesia punya cerita
Tenun ikat Dayak desa,Tenun ikat Dayak desa
Cerita pendek Indonesia,Cerita pendek Indonesia
Cerita Cinta Indonesia,Cerita Cinta Indonesia
Cerita rakyat asli Indonesia,Cerita rakyat asli Indonesia
"Cerita humor ""Pangulima laut""","Cerita humor ""Pangulima laut"""
Cerita pendek Indonesia mutakhir,Cerita pendek Indonesia mutakhir
Cerita rakyat Indonesia,Cerita rakyat Indonesia
Behind Indonesia's headlines,Behind Indonesia's headlines
88 cerita terbaik asal-usul nama daerah,88 cerita terbaik asal-usul nama daerah
Cerita pendek Indonesia di Yogyakarta,Cerita pendek Indonesia di Yogyakarta
Menuju Indonesia berkeadilan,Menuju Indonesia berkeadilan
[Cerita rakyat Nusantara],[Cerita rakyat Nusantara]
Cerita rakyat Sulawesi Tengah,Cerita rakyat Sulawesi Tengah
Cerita cita Indonesia,Cerita cita Indonesia
Antologi cerita pendek Indonesia modern remaja,Antologi cerita pendek Indonesia modern remaja
"Sang kancil, tokoh cerita binatang Indonesia","Sang kancil, tokoh cerita binatang Indonesia"
Film cerita di Indonesia,Film cerita di Indonesia
"Cerita di balik dapur Tempo 40 tahun, (1971-2011)","Cerita di balik dapur Tempo 40 tahun, (1971-2011)"
Kajian struktur tari jauk manis stail I Made Djimat,Kajian struktur tari jauk manis stail I Made Djimat
Cerita-cerita rakyat daerah Maluku,Cerita-cerita rakyat daerah Maluku
Cerita rakyat daerah Maluku,Cerita rakyat daerah Maluku
Kumpulan cerita rakyat Mentawai,Kumpulan cerita rakyat Mentawai
Cerita rakyat dan dongeng dari Indonesia =,Cerita rakyat dan dongeng dari Indonesia =
Perjalanan ke negeri damai,Perjalanan ke negeri damai
"Indonesiana, humorous stories from Indonesia","Indonesiana, humorous stories from Indonesia"
Ayao rariri tuturaimbe,Ayao rariri tuturaimbe
"Antologi cerita pendek Indonesia-Papua, 1983-1998","Antologi cerita pendek Indonesia-Papua, 1983-1998"
Tema cerita pendek Indonesia tahun 1950-1060,Tema cerita pendek Indonesia tahun 1950-1060
"Apresiasi cerita rekaan sastra Indonesia murid kelas III SPG, DKI Jakarta","Apresiasi cerita rekaan sastra Indonesia murid kelas III SPG, DKI Jakarta"
"Kumpulan cerita pendek Indonesia-ku, ASEAN-ku","Kumpulan cerita pendek Indonesia-ku, ASEAN-ku"
Matinya cerita pendek,Matinya cerita pendek
Problematika penulisan cerita rakyat untuk anak di Indonesia,Problematika penulisan cerita rakyat untuk anak di Indonesia
100 cerita si Kabayan masa kini,100 cerita si Kabayan masa kini
Cerita rakyat daerah ...,Cerita rakyat daerah ...
355 cerita anak Muslim Indonesia berdasarkan kalender Hijriyah,355 cerita anak Muslim Indonesia berdasarkan kalender Hijriyah
Cerita rakyat Kabupaten Biak Numfor,Cerita rakyat Kabupaten Biak Numfor
Cerita dari peternakan kakek Tulus,Cerita dari peternakan kakek Tulus
Cerita rakyat Jawa Timur,Cerita rakyat Jawa Timur
Cerita rakyat dari Brebes,Cerita rakyat dari Brebes
Cerita rakyat (mite dan legende) daerah Sumatera Utara,Cerita rakyat (mite dan legende) daerah Sumatera Utara
Sakindit : Cerita Rakyat Kalimantan Selatan,Sakindit : Cerita Rakyat Kalimantan Selatan
Katalog naskah cerita Panji koleksi Perpustakaan Nasional,Katalog naskah cerita Panji koleksi Perpustakaan Nasional
Cerita rakyat daerah Sumatera Selatan,Cerita rakyat daerah Sumatera Selatan
Tiga puluh cerita pendek Indonesia modern tahun 1920-1940,Tiga puluh cerita pendek Indonesia modern tahun 1920-1940
Kotak ajaib dan sejumlah cerita rakyat Indonesia yang lain,Kotak ajaib dan sejumlah cerita rakyat Indonesia yang lain
100 cerita batu mulia Indonesia,100 cerita batu mulia Indonesia
Cerita rakyat daerah Nabire dan Enarotali,Cerita rakyat daerah Nabire dan Enarotali
Kumpulan cerita rakyat Sorong Selatan,Kumpulan cerita rakyat Sorong Selatan
Kompilasi cerita sejarah/purbakala Sumatera Selatan,Kompilasi cerita sejarah/purbakala Sumatera Selatan
Cerita rakyat daerah Lampung (mite dan legende),Cerita rakyat daerah Lampung (mite dan legende)
Cerita rakyat daerah Sulawesi Tengah,Cerita rakyat daerah Sulawesi Tengah
Cerita sukses pendidikan multikultural di Indonesia,Cerita sukses pendidikan multikultural di Indonesia
Kumpulan cerita daerah Jawa (dalam naskah kuno),Kumpulan cerita daerah Jawa (dalam naskah kuno)
Kesetaraan gender dalam cerita anak-anak klasik produksi Walt Disney dan cerita anak-anak klasik Indonesia,Kesetaraan gender dalam cerita anak-anak klasik produksi Walt Disney dan cerita anak-anak klasik Indonesia
Cerita rakyat daerah Jambi,Cerita rakyat daerah Jambi
"Antologi cerita pendek remaja Papua, 2005-2009","Antologi cerita pendek remaja Papua, 2005-2009"
Cerita rakyat daerah Daerah Istimewa Yogyakarta,Cerita rakyat daerah Daerah Istimewa Yogyakarta
Cerita rakyat Nusa Tenggara Barat,Cerita rakyat Nusa Tenggara Barat
Cerita rakyat daerah Sulawesi Selatan,Cerita rakyat daerah Sulawesi Selatan
Cerita rakyat Sumatera Utara,Cerita rakyat Sumatera Utara
18 jurus sakti dewa mabuk membangun bisnis,18 jurus sakti dewa mabuk membangun bisnis
Cerita sukses pembangunan perdamaian di Indonesia,Cerita sukses pembangunan perdamaian di Indonesia
Cerita rakyat Kalimantan Selatan,Cerita rakyat Kalimantan Selatan
"Kumpulan cerita pendek gemarame Papua, 2011","Kumpulan cerita pendek gemarame Papua, 2011"
Cerita rakyat (mite dan legende) daerah Sulawesi Utara,Cerita rakyat (mite dan legende) daerah Sulawesi Utara
Kumpulan cerita rakyat Nusantara,Kumpulan cerita rakyat Nusantara
Cerita rakyat dari Cirebon,Cerita rakyat dari Cirebon
Rangkaian cerita Mangkunegaran (RCM),Rangkaian cerita Mangkunegaran (RCM)
Kumpulan cerita rakyat Kutai,Kumpulan cerita rakyat Kutai
Legenda cerita rakyat Bangka Barat,Legenda cerita rakyat Bangka Barat
"Cerita rakyat Minahasa dalam bahasa Indonesia, Jerman, dan Inggris","Cerita rakyat Minahasa dalam bahasa Indonesia, Jerman, dan Inggris"
Penelitian apresiasi cerita rekaan sastra Indonesia murid kelas 3 SPG Jawa Barat,Penelitian apresiasi cerita rekaan sastra Indonesia murid kelas 3 SPG Jawa Barat
Cerita rakyat daerah Kalimantan Selatan,Cerita rakyat daerah Kalimantan Selatan
Cerita rakyat daerah Sulawesi Tenggara,Cerita rakyat daerah Sulawesi Tenggara
Cerita rakyat Daereh Istimewa Aceh,Cerita rakyat Daereh Istimewa Aceh
Cerita rakyat daerah Nusa Tenggara Timur,Cerita rakyat daerah Nusa Tenggara Timur
Cerita rakyat dari Sulawesi Utara,Cerita rakyat dari Sulawesi Utara
[Cerita rakyat dari Sumatera Utara],[Cerita rakyat dari Sumatera Utara]
Alur cerita dan mistis Wawacan purnama alam karangan R. Soeriadiredja,Alur cerita dan mistis Wawacan purnama alam karangan R. Soeriadiredja
Ribuan gagak masuk kota,Ribuan gagak masuk kota
Cerita rakyat Daerah Istimewa Yogyakarta,Cerita rakyat Daerah Istimewa Yogyakarta
Relief Jataka Candi Borobudur,Relief Jataka Candi Borobudur
Cerita bergambar relief karmawibhangga Candi Borobodur,Cerita bergambar relief karmawibhangga Candi Borobodur
Antologi cerita pendek Indonesia modern pada zaman Jepang dalam majalah Panji pustaka,Antologi cerita pendek Indonesia modern pada zaman Jepang dalam majalah Panji pustaka
Perempuan bermulut api,Perempuan bermulut api
Mitos dalam cerita-cerita takhayul kajian semiotika terhadap wacana horor dalam majalah berbahasa Jawa,Mitos dalam cerita-cerita takhayul kajian semiotika terhadap wacana horor dalam majalah berbahasa Jawa
Cerita Balang Kesimbar,Cerita Balang Kesimbar
Tan Talanai beserta dua buah cerita rakyat Jambi lainnya,Tan Talanai beserta dua buah cerita rakyat Jambi lainnya
Putri Rainun beserta dua buah cerita rakyat Jambi lainnya,Putri Rainun beserta dua buah cerita rakyat Jambi lainnya
Radin Bungsu beserta dua buah cerita rakyat Lampung lainnya,Radin Bungsu beserta dua buah cerita rakyat Lampung lainnya
"Cerita rakyat Simalungun, cerita si Marsingkam","Cerita rakyat Simalungun, cerita si Marsingkam"
Cerita rakyat (mite dan legende) daerah Bali,Cerita rakyat (mite dan legende) daerah Bali
Cerita rakyat daerah Nusa Tenggara Barat,Cerita rakyat daerah Nusa Tenggara Barat
Cerita rakyat (mite dan legende) daerah Irian Jaya,Cerita rakyat (mite dan legende) daerah Irian Jaya
Cerita-cerita rakyat Jawa Barat,Cerita-cerita rakyat Jawa Barat
"Indonesiana, cerita-cerita unik dari tanah air","Indonesiana, cerita-cerita unik dari tanah air"
Children helping children,Children helping children
Mengapa tubuh udang bengkok,Mengapa tubuh udang bengkok
Tambo Kejai beserta lima buah cerita rakyat lainnya dari Bengkulu,Tambo Kejai beserta lima buah cerita rakyat lainnya dari Bengkulu
Cerita rakyat tokoh utama mitologis dan legendaris daerah Sulawesi Tengah,Cerita rakyat tokoh utama mitologis dan legendaris daerah Sulawesi Tengah
Cerita rakyat tokoh utama mitologis dan legendaris daerah Nusa Tenggara Barat,Cerita rakyat tokoh utama mitologis dan legendaris daerah Nusa Tenggara Barat
Cerita rakyat (mite dan legende) daerah Sulawesi Tengah,Cerita rakyat (mite dan legende) daerah Sulawesi Tengah
Cerita rakyat (mite dan legende) daerah Kalimantan Barat,Cerita rakyat (mite dan legende) daerah Kalimantan Barat
Cerita rakyat (mite dan legende) Daerah Istimewa Yogyakarta,Cerita rakyat (mite dan legende) Daerah Istimewa Yogyakarta
Cerita rakyat daerah Kalimantan Selatan (mite dan legende),Cerita rakyat daerah Kalimantan Selatan (mite dan legende)
"Cerita rakyat, mite dan legende, daerah Kalimantan Barat","Cerita rakyat, mite dan legende, daerah Kalimantan Barat"
Cerita rakat (mite dan legende) daerah Sulawesi Tengah,Cerita rakat (mite dan legende) daerah Sulawesi Tengah
Cerita Panji dalam geguritan di Bali,Cerita Panji dalam geguritan di Bali
Kisah nelayan dan seekor penyu,Kisah nelayan dan seekor penyu
Cerita rakyat [mite dan legende] daerah Sumatera Barat,Cerita rakyat [mite dan legende] daerah Sumatera Barat
Cerita rakyat dwibahasa,Cerita rakyat dwibahasa
Selosin cerita rakyat,Selosin cerita rakyat
Cerita-cerita rakyat di daerah Riau,Cerita-cerita rakyat di daerah Riau
Cerita rakyat daerah D.K.I. Jakarta,Cerita rakyat daerah D.K.I. Jakarta
"Kemampuan pemahaman bahasa Indonesia, khususnya pemahaman hitungan soal cerita pada murid SD di Minahasa","Kemampuan pemahaman bahasa Indonesia, khususnya pemahaman hitungan soal cerita pada murid SD di Minahasa"
Cerita pendek terjemahan di media massa dan kemungkinannya sebagai materi pelajaran sastra Indonesia di SMU,Cerita pendek terjemahan di media massa dan kemungkinannya sebagai materi pelajaran sastra Indonesia di SMU
Menghadang mentari pun tak peduli,Menghadang mentari pun tak peduli
Cerita rakyat (mite dan legende) daerah Propinsi Kalimantan Selatan,Cerita rakyat (mite dan legende) daerah Propinsi Kalimantan Selatan
Cerita rakyat daerah Jawa Tengah,Cerita rakyat daerah Jawa Tengah
Di balik layar film Kartini,Di balik layar film Kartini
Kumpulan cerita rakyat Papua.,Kumpulan cerita rakyat Papua.
Struktur dan nilai budaya dalam cerita berbingkai,Struktur dan nilai budaya dalam cerita berbingkai
